,Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Research Institute of Internship Supervisor,Name of Internship Supervisor,Workplace Address,What is the project's research category?,No. of Students Required
10,Adapting large language models for math education,"Our project leverages recent advancements in AI technologies and big educational data to better customize and improve learning experiences for students on math learning. The technologies we plan to develop have the potential to bring about new learning experiences that are more tailored to students’ needs and characteristics and help more students achieve their learning objectives. They can also help educators understand the learning process better and equip teachers with proper tools to be more proactive in identifying and addressing low-progress students and improve their teaching methods continuously. 

Intern students in this project are expected to select one topic in math language processing, and do the following on the topic:
-  read literature to identify research gap or limitations of existing work on the topic
- propose and develop AI/machine learning models to fill the research gap or overcome the limitations
- conduct experiments to compare the proposed model with existing state-of-the-art models on the topic
- write a research report to describe the problem, related work, proposed method and experiment results. 

Candidate topics include knowledge component prediction for math word problem, automated feedback generation for student solutions, math word problem solving and reasoning","Through this project, students are expected to gain the following:
- further sharpen their critical thinking and analytical thinking skills
- enhance their Programming skills using Python and learn how to use NLP libraries to do model finetuning and inference
-  using AI technologies to solve problems 
-  better understanding on how research is conducted. 
-  improved presentation and communications skills for sharing and discussing ideas and results with others","Develop an AI algorithm using Python to solve a problem in math language processing. Candidate problems include but are not limited to the following: knowledge component prediction for math word problem, automated feedback generation for student solutions, math word problem solving and reasoning
- Conduct literature survey on the selected problem
- Conduct experiments to compare the developed AI algorithm with state-of-the-art algorithms on the problem. 
- Sharing the delveloped model, results and findings with project members
- Write a report (word or pdf) to describe the chosen problem, related work, developed AI algorithm and experiment results. 

Deliverables:
- Well-documented Python codes implementing the AI algorithm for solving the chosen problem
-  A report in word or in pdf describing the chosen problem, related work, developed AI algorithm and experiment results.","A suitable student should have a solid foundation in coding in python, have a strong interest in learning about and applying cutting-edge machine learning techniques, and be self-motivated and able to work without needing constant supervision. Any experience with natural language processing and large language models will be favourable.",I2R,Tan Chor Seng,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer Science",2
11,Adaptive Grasping Strategies for High-Mix Low-Volume (HMLV) Handling Project,"Project Overview: Over time, the manufacturing sector has transformed its operations to create personalized products that cater to individual customer needs. This has led to a significant variability in product manufacturing and packaging, particularly in small quantities. The manufacturing of various products in small batches, known as High-Mix Low-Volume (HMLV) manufacturing and packaging, currently heavily relies on manual processes within many manufacturing plants. However, the efficiency of these processes is impeded by the design of grippers. Grippers play a critical role in picking up and placing a diverse range of products into packaging boxes during daily operations. Background: While the use of robotic grippers can greatly enhance the efficiency of pick-and-place tasks, the current methods for designing these grippers are manual and experience-driven. These processes are time-consuming and lack the adaptability needed to accommodate changes in manufacturing requirements. There is a clear need for an innovative design approach that enables rapid iterations in the creation of task-specific robot grippers. This addresses the demand for greater flexibility and quicker adaptation to changes in manufacturing needs. Furthermore, incoming parts often have varying orientations, often requiring adjustments before placement. Achieving this level of versatility in robotic grippers remains a significant challenge. This has typically been approached by incorporating additional controllable degrees of freedom or specialized grasping hardware, resulting in highly complex control mechanisms. Striving for a level of versatility akin to human capabilities with a single gripper and a reduced number of actuators is a complex task. Finding an optimal method to achieve this remains an open area of research in both robot manipulation and gripper development.","Students will work with experienced scientists and engineers in SIMTech, and gain hands-on experience in mechanical design, device fabrication and advanced characterization systems in SIMTech.","1. Explore evolutionary design approaches to create adaptive grippers. This involves iterative processes of selection, mutation, and recombination inspired by biological evolution. The goal is to progressively enhance gripper designs over successive generations.
2. Develop a strategy for multi-degree-of-freedom (multi-DOF) actuation using soft and hybrid actuators. These actuators may incorporate both soft and rigid materials, allowing for axial, twist, and omni-directional bending movements.
3. Develop strategies for gripper reconfiguration, enabling fast adaptation to different configurations. This includes the implementation of interchangeable modules and a universal mechanical interface.","General knowledge in mechanical engineering.
Basic skills to use SolidWorks and Arduino IDE",SIMTech,Yuzhe Wang,"Singapore Institue of Manufacturing Technology, 2 Fusionopolis Way
#08-04, Innovis
Singapore 138634","Engineering and Technology,Mechanical Engineering",2
12,Advanced General Membrane-Level Cell Segmentation for Enhanced Immunofluorescence Analysis of Complex Cell Types,"Current cell segmentation algorithms in multiplexed immunofluorescence imaging fall into two main cate-gories: generalized nuclear segmentation methods, which detect cell nuclei and segment cells without con-sidering precise cell shapes, and tissue-specific trained models, which can detect cell shapes and bounda-ries but require new models for each specific tissue type. The lack of algorithms capable of performing membrane-level cell segmentation in a generalized and reli-able manner makes it challenging to study cell types with significant concavity or flexibility in their struc-ture, such as amoeboid immune cells, neurons, and migrating cells. By developing a generalized cell segmentation algorithm that accurately segments cells based on their membrane-bound marker fluorescence, we aim to enhance the performance of immunofluorescence anal-ysis and gain a better understanding of these specific cell types.","1. Understanding of Cell Segmentation Techniques: Students will gain a comprehensive understanding of current cell segmentation algorithms used in multiplexed immunofluorescence imaging, including their strengths and limitations. 2. Algorithm Development and Implementation: Students will develop skills in designing and implementing advanced algorithms for membrane-level cell segmentation. 3. Data Analysis and Interpretation: Students will learn to analyze and interpret complex imaging data, enhancing their ability to study cell types with intricate structures. 4. Machine Learning and AI Model Training: Students will acquire knowledge in training and validating machine learning models for tissue-specific and generalized applications. 5. Research and Problem-Solving Skills: Students will enhance their research capabilities and problem-solving skills through hands-on experience with cutting-edge technology and methodologies.","1. Literature Review - Conduct a thorough review of existing cell segmentation methods in multiplexed immunofluorescence imaging. Identify the limitations and gaps in current algorithms, particularly in membrane-level segmentation. 2. Algorithm Design and Development - Collaborate in designing a generalized cell segmentation algorithm capable of accurately segmenting cells based on membrane-bound marker fluorescence. Implement the designed algorithm using appropriate programming lan-guages and tools. 3. Data Collection and Preprocessing - Collect multiplexed immunofluorescence imaging data from various sources. Preprocess the data to ensure it is suitable for algorithm training and testing. 4. Model Training and Validation - Train the developed algorithm on diverse datasets to ensure its generalizability across different tissue types. Validate the algorithm’s performance using expert-annotated data, comparing its accuracy with existing segmentation methods.5. Performance Evaluation - Evaluate the algorithm’s performance in segmenting complex cell types, such as amoe-boid immune cells, neurons, and migrating cells. Analyze the results to determine the algorithm’s strengths and areas for improvement. 6. Documentation and Reporting - Document all stages of the project, including methodology, implementation, and results. Prepare detailed reports and presenta-tions to communicate findings to the research team and broader scientific community. 7. Collabora-tion and Communication - Work closely with other team members, including researchers and clini-cians, to ensure the algorithm meets the needs of the scientific community. Engage in regular meet-ings to discuss progress, share insights, and address challenges.  By participating in this project, stu-dents will not only contribute to the development of a cutting-edge cell segmentation algorithm but al-so acquire valuable skills and knowledge applicable to the fields of computational biology, bioinfor-matics, and medical research.",,BII,YU Weimiao,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Biomedical Sciences,Biomedical Sciences,Bioinformatics,Biomedical Engineering,Natural Sciences",2
13,Advanced Techniques for Image Appearance Migration (IAM) for AI Digital Pathology Diagnostic Model Generalization,Develop deep learning models specifically designed for high-quality image appearance migration to enhance AI Digital Pathology Diagnostic Model Generalization. The focus will be on achieving realistic and consistent appearance and style transfer while preserving the morphological and pathological content of the original image. Focus on optimizing neural network architectures to enable real-time image appearance migration. This involves balancing model complexity and computational efficiency to achieve high performance on resource-constrained devices.  Develop a comprehensive evaluation framework to assess the quality of image appearance migration. This includes creating both objective and subjective metrics that capture different aspects of image quality.,i). Novel deep learning models for IAM. Efficient neural network models capable of real-time IAM. ii). Enhanced visual quality and style consistency in migrated images. iii). A robust evaluation framework for IAM quality and standardized metrics for benchmarking IAM algorithms.,"A). Literature Review: Review current deep learning approaches for style transfer and image-to-image translation. B). Model Development: Design and implement new deep learning models, possibly leveraging GANs or VAEs. Implement techniques such as model pruning, quantization, and knowledge distillation. Propose new metrics for evaluating style consistency, content preservation, and overall visual appeal. C). Performance Evaluation: Train models on diverse datasets and evaluate their performance using both qualitative and quantitative metrics. Validate the metrics through user studies and correlation with human judgments. Use the framework to benchmark existing and new IAM models.",Nil,BII,YU Weimiao,"Bioinformatics Institute, 30 Biopolis Street, Matrix, #07-01, Singapore 138671","Biomedical Sciences,Biomedical Sciences,Bioinformatics,Biomedical Engineering,Natural Sciences",1
14,Advancing legged robot locomotion for challenging terrains,"This project addresses a critical challenge in mobile robot navigation: traversing complex and unpredictable terrain. Traditional wheeled robots struggle with obstacles like staircases, uneven surfaces, and gaps. We propose leveraging the agility of quadruped robots, and our custom quadruped controllers to achieve robust and versatile motion planning and locomotion.

This project focuses on developing perceptual locomotion capabilities for legged robots. These capabilities encompass:

Terrain Segmentation: Accurately classifying different terrain types (stairs, gaps, etc.) for informed decision-making.
Traversability Mapping: Creating real-time maps that assess the ease or difficulty of traversing specific areas.
Environment Interactivity Detection: Identifying interactive elements (doors, switches) in the environment.
Agility-Aware 3D Path Planning: Generating safe and efficient paths that consider robot limitations and terrain complexity.
Perception-Based Legged Locomotion: Utilizing real-time sensory data to adapt gait and foot placement for robust locomotion.
By achieving these advancements, robots will be able to navigate a wider range of environments, including urban and outdoor settings. 

Potential applications include tasks like:
Outdoor Patrolling: Monitoring public spaces, parks, or perimeters.
Greenery Maintenance: Performing tasks like lawn mowing or tree trimming in diverse landscapes.
Search and Rescue: Navigating disaster zones with uneven terrain and debris.

This project contributes to the development of more capable and versatile robots, expanding their operational scope and real-world impact.","Students will gain hands-on experience with advanced robotics platforms, developing skills in perception-based quadruped locomotion algorithms and contributing to real-world applications such as urban patrolling and environmental monitoring. They will work on terrain segmentation, traversability mapping, and model predictive control and Reinforcement Learning algorithms, collaborating closely with experienced researchers and potentially publishing their findings. This interdisciplinary project is ideal for students from computer science, electrical engineering, and mechanical engineering backgrounds.

Through participation in this project, you will gain valuable knowledge and skills in various areas:

Deepen your understanding of real-time control of legged robot.
Gain practical experience in implementing algorithms for robot locomotion tasks.
Acquire proficiency in using simulation tools for robot development and testing.

By working on this project, you will not only contribute to real-world advancements in robot control but also build a strong technical foundation and transferable skills that will be highly sought-after in various robotics and engineering fields.","As a student on this project, you will play a vital role in developing advanced locomotion capabilities for legged robots. Your responsibilities will encompass various aspects, depending on your specific interests and skillset. Here are some potential areas you might contribute to:

Algorithm Development and Implementation: Work on specific algorithms for deployment on real robots
Simulation and Testing: Participate in setting up simulation environments and performing tests to evaluate the developed algorithms and robot performance.
Literature Review and Research: Conduct research on existing approaches and relevant scientific literature.
Documentation and Communication: Assist with creating project documentation, reports, and presentations to effectively communicate research findings.",Programming: Familiarity with a programming language like Python or C++ is essential for developing algorithms and robot control code. Familiarity with ROS would be beneficial.,I2R,Michael Chuah,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Computer and Software Engineering,Electrical and Electronic Engineering ",2
15,Advancing Polyelectrolyte Injectable Hydrogels for Sustained and Modulated Drug-Release,"Thermogels are amphiphilic polymers with the ability to form temperature-dependent supramolecular interactions that could lead to gelation. The advantage of a system whereby gelation happens with increasing temperature includes injectability and the potential to encapsulate heat-sensitive drugs and cells. We have designed a versatile synthetic platform that allows the attachment of various chemical groups that would impart a mixture of mechanical and functional properties. By introducing cationic and anionic moieties, we seek to enhance the interactions between gels and drugs, expanding the range of possibilities for sustained and modulated release of drugs (e.g. ampholytic biologics). Students will be involved in materials synthesis, characterization, and in vitro drug release.","Students will learn polymer synthesis and functionalization, spectroscopic characterization (e.g. NMR, FTIR), rheology, polymer self-assembly, and drug release mechanisms.","Synthesize and characterize chemical and mechanical properties of injectable hydrogels. Assist with in vitro drug release experiments.

To develop the students' knowlegde, he/she student is expected to read widely, comprehend, and summarize the relevant literature.","B.Sc in Chemistry,
B.Sc in Biology,
B.Eng in Materials Engineering,
or B.Eng in Chemical Engineering",IMRE,Rubayn Goh,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Engineering and Technology,,Chemical and Molecular Engineering",1
16,AI for Climate Change using Satellite Images,"
This project utilizes advanced machine learning algorithms to analyze satellite imagery for monitoring and mitigating climate change impacts. It processes environmental data, predicts climate-related events, and provides decision support tools for policymakers and organizations. By enabling real-time monitoring, early warning systems, and scientific research, the project contributes to environmental sustainability and resilience on a global scale.",AI for sustainability; data extraction; deployment of AI/ML model,Train and test of AI model; develop and deploy the model; data extraction,Data extraction and basics in NLP,IHPC,Ranjan Satapathy,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Computing and Information Sciences,Computer Science",1
17,AI for Diabetes and Chronic Disease Management,"Choice modeling techniques are of increasing relevance for emerging personalized recommendation system and clinical decision support applications. However, existing methods rely on implicit assumptions that may not hold in a number of real-world settings. To address these gaps, this project will investigate novel choice modeling and rank regression approaches. The proposed methods will be evaluated on public datasets for personalized ranking as well as on real-world health datasets for treatment advisory and lifestyle recommendation tasks. ","The internship will provide opportunities to deepen knowledge of probabilistic machine learning techniques, and gain experience in experimentation with large-scale real-world datasets. Students will also learn to co-author research papers and/or intellectual property filings.","The student will develop and refine approaches for choice modeling and rank regression, and perform experiments on diverse datasets to demonstrate performance in relation to state-of-the-art methods.","Background in statistical learning, probabilistic machine learning and/or computer science. Experience with deep learning frameworks is required. Past work with tabular and time series datasets is a plus",I2R,Pavitra Krishnaswamy,"Institute for Infocomm Research, 1 Fusionopolis Way, Connexis, #21-01, Singapore 138632","Computing and Information Sciences,Biomedical Sciences,Computer Science,Biomedical Engineering,Mathematics",1
18,AI for Nanophotonics,"This project focuses on integrating artificial intelligence (AI) techniques into nanophotonics research to address challenges in developing compact, efficient, and high-speed optical devices. The project goals include enhancing efficiency by developing AI-driven methodologies for rapid design and optimization of nanophotonic devices, optimizing simulation tools through AI algorithms to streamline the prototyping process, expediting material exploration by integrating novel materials like two-dimensional (2D) materials, and ensuring physical validity using physics-informed neural networks. Prospective candidates with backgrounds in electrical engineering, applied physics, or related fields, along with proficiency in simulation techniques and AI, are encouraged to apply, aimed at advancing the forefront of nanophotonics research.","1 - Learn how to develop AI-driven methodologies for rapid design
and optimization of nanophotonic devices,
2 - Study and optimize simulation tools through AI algorithms to streamline the prototyping process,
3 - expediting material exploration by integrating novel materials
like two-dimensional (2D) materials",,"backgrounds in electrical engineering, applied physics",IMRE,Omar Abdelrahman Mohamed Abdelraouf,"Institute of Materials Research and Engineering, 2 Fusionopolis Way,
Innovis, Level 9,
Singapore 138634","Physical Sciences,Physics",1
19,AI for quantum error correction,"The objective of this project is to create new solutions, including decoders and encoders, that use artificial intelligence to make quantum computing systems more reliable. Quantum error correction is important because it helps keep quantum bits (qubits) accurate and stable. This project will use advanced AI techniques like machine learning and neural networks to find, predict, and fix errors in quantum calculations. By testing these error correction methods and using AI-driven algorithms, the project hopes to make quantum error correction more efficient and effective, helping to advance quantum computing technology.","Students working on this project will learn about both quantum computing and artificial intelligence. They will understand the basic ideas behind quantum error correction and the different types of errors that can happen in quantum systems. They will also get practical experience using AI techniques to solve real-world quantum computing problems, improving their skills in machine learning, neural networks, and data analysis. The project will help students develop their critical thinking and problem-solving abilities as they create and test AI solutions for quantum error correction. By the end of the project, students will be ready to contribute to advanced research in quantum computing.","The student  will start by reading and understanding current research on quantum error correction and AI applications in this area. Next, they will help design and develop AI models and algorithms for quantum error correction. This will include writing code, testing, and improving these algorithms to make them accurate and efficient. Students will also run simulations and experiments to check how well their AI solutions work. ","Basics of linear algebra, Python programming",IHPC,Bharti Kishor,"Institute of High Performance Computing, 1 Fusionopolis Way, Connexis North, #16-16, Singapore 138632","Physical Sciences,Computer Science,Physics",2
