city,region,geo
Гаврилов Посад,Ивановская область,"56.558452,40.120297"
Гаврилов-Ям,Ярославская область,"57.303956,39.853847"
Гагарин,Смоленская область,"55.553299,34.996854"
Гаджиево,Мурманская область,"69.250425,33.315082"
Гай,Оренбургская область,"51.463453,58.440637"
Галич,Костромская область,"58.381203,42.34749"
Гатчина,Ленинградская область,"59.56841,30.122892"
Гвардейск,Калининградская область,"54.647708,21.071341"
Гдов,Псковская область,"58.744398,27.819594"
Геленджик,Краснодарский край,"44.561012,38.077115"
Георгиевск,Ставропольский край,"44.147959,43.474274"
Глазов,Удмуртия,"58.140801,52.674253"
Голицыно,Московская область,"55.615949,36.987126"
Горбатов,Нижегородская область,"56.132559,43.058722"
Горно-Алтайск,Алтай,"51.957804,85.960634"
Горнозаводск,Пермский край,"58.374682,58.330917"
Горняк,Алтайский край,"50.999759,81.460766"
Городец,Нижегородская область,"56.644822,43.47236"
Городище,Пензенская область,"53.272758,45.70267"
Городовиковск,Калмыкия,"46.083105,41.936052"
Гороховец,Владимирская область,"56.2017,42.691203"
Горячий Ключ,Краснодарский край,"44.634246,39.136426"
Грайворон,Белгородская область,"50.486275,35.66583"
Гремячинск,Пермский край,"58.562604,57.852043"
Грозный,Чечня,"43.318366,45.692421"
Грязи,Липецкая область,"52.496191,39.95533"
Грязовец,Вологодская область,"58.880756,40.254343"
Губаха,Пермский край,"58.837022,57.554584"
Губкин,Белгородская область,"51.321407,37.542204"
Губкинский,Ямало-Ненецкий АО,"64.432625,76.500503"
Гудермес,Чечня,"43.352037,46.102906"
Гуково,Ростовская область,"48.061025,39.934929"
Гулькевичи,Краснодарский край,"45.360342,40.695236"
Гурьевск,Калининградская область,"54.770401,20.608359"
Гурьевск,Кемеровская область,"54.284748,85.932059"
Гусев,Калининградская область,"54.591841,22.201117"
Гусиноозёрск,Бурятия,"51.285453,106.52953"
Гусь-Хрустальный,Владимирская область,"55.614556,40.671045"
Давлеканово,Башкортостан,"54.212956,55.03057"
Дагестанские Огни,Дагестан,"42.115189,48.193923"
Далматово,Курганская область,"56.258613,62.93932"
Дальнегорск,Приморский край,"44.558764,135.576366"
Дальнереченск,Приморский край,"45.931182,133.726941"
Данилов,Ярославская область,"58.188193,40.174995"
Данков,Липецкая область,"53.246197,39.134423"
Дегтярск,Свердловская область,"56.698344,60.086827"
Дедовск,Московская область,"55.859953,37.120445"
Демидов,Смоленская область,"55.26444,31.515011"
Дербент,Дагестан,"42.057669,48.288776"
Десногорск,Смоленская область,"54.152351,33.287881"
Джанкойн,Крым,"45.713348,34.392872"
Дзержинск,Нижегородская область,"56.238382,43.461634"
Дзержинский,Московская область,"55.630944,37.849616"
Дивногорск,Красноярский край,"55.957726,92.380148"
Дигора,Северная Осетия,"43.156732,44.155044"
Димитровград,Ульяновская область,"54.217515,49.623924"
Дмитриев,Курская область,"52.12778,35.080353"
Дмитров,Московская область,"56.342905,37.517608"
Дмитровск,Орловская область,"52.505127,35.141645"
Дно,Псковская область,"57.828222,29.961393"
Добрянка,Пермский край,"58.468068,56.403986"
Долгопрудный,Московская область,"55.933302,37.51423"
Долинск,Сахалинская область,"47.324133,142.79821"
Домодедово,Московская область,"55.437174,37.768004"
Донецк,Ростовская область,"55.415175,37.901512"
Донской,Тульская область,"53.968352,38.33741"
Дорогобуж,Смоленская область,"54.912677,33.297044"
Дрезна,Московская область,"55.741404,38.842371"
Дубна,Московская область,"56.73639,37.16227"
Дубовка,Волгоградская область,"49.055375,44.826957"
Дудинка,Красноярский край,"69.405769,86.164992"
Духовщина,Смоленская область,"55.191356,32.414171"
Дюртюли,Башкортостан,"55.48529,54.873472"
Дятьково,Брянская область,"53.597311,34.339656"
Евпатория,Крым,"45.190635,33.367643"
Егорьевск,Московская область,"55.383055,39.035842"
Ейск,Краснодарский край,"46.711944,38.27266"
Екатеринбург,Свердловская область,"56.838011,60.597474"
Елабуга,Татарстан,"56.838011,60.597474"
Елец,Липецкая область,"52.621938,38.500446"
Елизово,Камчатский край,"53.189231,158.382659"
Ельня,Смоленская область,"54.575911,33.182743"
Еманжелинск,Челябинская область,"54.752147,61.317223"
Емва,Коми,"62.598375,50.886569"
Енисейск,Красноярский край,"58.454915,92.179832"
Ермолино,Калужская область,"55.196911,36.595272"
Ершов,Саратовская область,"51.349829,48.266498"
Ессентуки,Ставропольский край,"44.044526,42.85891"
Ефремов,Тульская область,"53.137603,38.117673"
Железноводск,Ставропольский край,"44.131967,43.030506"
Железногорск,Красноярский край,"56.250952,93.532677"
Железногорск,Курская область,"52.339203,35.350871"
Железногорск-Илимский,Иркутская область,"56.584848,104.114292"
Жердевка,Тамбовская область,"51.844163,41.469638"
Жигулёвск,Самарская область,"53.40172,49.494657"
Жиздра,Калужская область,"53.7474,34.734187"
Жирновск,Волгоградская область,"50.978718,44.778843"
Жуков,Калужская область,"55.030627,36.747895"
Жуковка,Брянская область,"53.533067,33.732547"
Жуковский,Московская область,"55.561670,38.117736"
Завитинск,Амурская область,"50.106524,129.439318"
Заводоуковск,Тюменская область,"56.509583,66.539453"
Заволжск,Ивановская область,"57.490765,42.138748"
Заволжье,Нижегородская область,"56.640441,43.387164"
Задонск,Липецкая область,"52.387779,38.918674"
Заинск,Татарстан,"55.283928,52.000427"
Закаменск,Бурятия,"50.372602,103.286764"
Заозёрный,Красноярский край,"55.961818,94.709228"
Заозёрск,Мурманская область,"69.401974,32.445648"
Западная Двина,Тверская область,"56.259628,32.071275"
Заполярный,Мурманская область,"69.426135,30.820524"
Зарайск,Московская область,"54.758475,38.881718"
Заречный,Пензенская область,"53.196088,45.169071"
Заречный,Свердловская область,"56.814966,61.320349"
Заринск,Алтайский край,"53.706337,84.931488"
Звенигово,Марий Эл,"55.972312,48.015329"
Звенигород,Московская область,"55.729828,36.854463"
Зверево,Ростовская область,"48.042956,40.126387"
Зеленогорск,Красноярский край,"56.113291,94.588844"
Зеленоградск,Калининградская область,"54.958322,20.473216"
Зеленодольск,Татарстан,"55.847048,48.492802"
Зеленокумск,Ставропольский край,"44.403288,43.884148"
Зерноград,Ростовская область,"46.849564,40.312824"
Зея,Амурская область,"53.734038,127.265889"
Зима,Иркутская область,"53.920725,102.049065"
Златоуст,Челябинская область,"55.173113,59.672425"
Злынка,Брянская область,"52.427389,31.737084"
Змеиногорск,Алтайский край,"51.153908,82.198472"
Знаменск,Астраханская область,"48.587337,45.723188"
Зубцов,Тверская область,"56.170536,34.582902"
Зуевка,Кировская область,"58.406027,51.138969"
Ивангород,Ленинградская область,"59.37649,28.219712"
Иваново,Ивановская область,"56.999799,40.973014"
Ивантеевка,Московская область,"55.976201,37.907414"
Ивдель,Свердловская область,"60.697353,60.417299"
Игарка,Красноярский край,"67.46694,86.567662"
Ижевск,Удмуртия,"56.852676,53.2069"
Избербаш,Дагестан,"42.565148,47.871087"
Изобильный,Ставропольский край,"45.368543,41.708644"
Иланский,Красноярский край,"56.238557,96.065306"
Инза,Ульяновская область,"53.85704,46.351649"
Иннополис,Татарстан,"55.752085,48.744618"
Инсар,Мордовия,"53.869577,44.369238"
Инта,Коми,"66.036823,60.115367"
Ипатово,Ставропольский край,"45.717425,42.911156"
Ирбит,Свердловская область,"57.68507,63.054079"
Иркутск,Иркутская область,"52.273108,104.355786"
Исилькуль,Омская область,"54.913914,71.262453"
Искитим,Новосибирская область,"54.642587,83.306391"
Истра,Московская область,"55.91466,36.859017"
Ишим,Тюменская область,"56.109175,69.457073"
Ишимбай,Башкортостан,"53.454626,56.04395"
Йошкар-Ола,Марий Эл,"56.6316,47.886178"
Кадников,Вологодская область,"59.501748,40.341112"
Казань,Татарстан,"55.796127,49.106414"
Калач,Воронежская область,"50.424136,41.016231"
Калач-на-Дону,Волгоградская область,"48.682007,43.538216"
Калачинск,Омская область,"55.052613,74.581782"
Калининград,Калининградская область,"54.710162,20.510137"
Калининск,Саратовская область,"51.499671,44.48548"
Калтан,Кемеровская область,"53.521088,87.27716"
Калуга,Калужская область,"54.513678,36.261341"
Калязин,Тверская область,"57.241069,37.828308"
Камбарка,Удмуртия,"56.266957,54.193475"
Каменка,Пензенская область,"53.184618,44.051648"
Каменногорск,Ленинградская область,"60.95081,29.130882"
Каменск-Уральский,Свердловская область,"56.415236,61.917818"
Каменск-Шахтинский,Ростовская область,"48.323133,40.269534"
Камень-на-Оби,Алтайский край,"53.791492,81.354558"
Камешково,Владимирская область,"56.348921,40.995597"
Камызяк,Астраханская область,"46.114432,48.067548"
Камышин,Волгоградская область,"50.085287,45.402166"
Камышлов,Свердловская область,"56.843988,62.707464"
Канаш,Чувашия,"55.506943,47.491764"
Кандалакша,Мурманская область,"67.151256,32.412832"
Канск,Красноярский край,"56.204179,95.706654"
Карабаново,Владимирская область,"56.308116,38.696853"
Карабаш,Челябинская область,"55.488371,60.203087"
Карабулак,Ингушетия,"43.305601,44.909413"
Карасук,Новосибирская область,"53.731934,78.04936"
Карачаевск,Карачаево-Черкесия,"43.769958,41.911475"
Карачев,Брянская область,"53.121594,34.982805"
Каргат,Новосибирская область,"55.194486,80.283012"
Каргополь,Архангельская область,"61.505339,38.948166"
Карпинск,Свердловская область,"59.766633,60.001074"
Карталы,Челябинская область,"53.053308,60.639462"
Касимов,Рязанская область,"54.937288,41.391368"
Касли,Челябинская область,"55.897337,60.757411"
Каспийск,Дагестан,"42.890853,47.635665"
Катав-Ивановск,Челябинская область,"54.753513,58.205836"
Катайск,Курганская область,"56.283235,62.58365"
Качканар,Свердловская область,"58.70526,59.485037"
Кашин,Тверская область,"57.361939,37.607745"
Кашира,Московская область,"54.834589,38.15154"
Кедровый,Томская область,"57.560963,79.566974"
Кемерово,Кемеровская область,"55.355198,86.086847"
Кемь,Карелия,"64.955532,34.59838"
Керчь,Крым,"44.948237,34.100318"
Кизел,Пермский край,"59.04943,57.653875"
Кизилюрт,Дагестан,"43.204637,46.866887"
Кизляр,Дагестан,"43.850312,46.710338"
Кимовск,Тульская область,"53.972149,38.533063"
Кимры,Тверская область,"56.872659,37.358274"
Кингисепп,Ленинградская область,"59.378053,28.601209"
Кинель,Самарская область,"53.22101,50.634394"
Кинешма,Ивановская область,"57.443126,42.169525"
Киреевск,Тульская область,"53.934949,37.928542"
Киренск,Иркутская область,"57.775727,108.110825"
Киржач,Владимирская область,"56.161945,38.871585"
Кириллов,Вологодская область,"59.859059,38.374942"
Кириши,Ленинградская область,"59.449695,32.008716"
Киров,Калужская область,"54.079614,34.307999"
Киров,Кировская область,"58.419938,49.250001"
Кировград,Свердловская область,"57.431916,60.062321"
Кирово-Чепецк,Кировская область,"58.556581,50.043941"
Кировск,Ленинградская область,"59.87533,30.981457"
Кировск,Мурманская область,"67.61206,33.668237"
Кирс,Кировская область,"59.339991,52.241516"
Кирсанов,Тамбовская область,"52.650652,42.728663"
Киселёвск,Кемеровская область,"54.006072,86.636742"
Кисловодск,Ставропольский край,"43.905518,42.715718"
Клин,Московская область,"56.331588,36.728725"
Клинцы,Брянская область,"52.753143,32.233852"
Княгинино,Нижегородская область,"55.820566,45.032249"
Ковдор,Мурманская область,"67.562917,30.474034"
Ковров,Владимирская область,"56.362506,41.310933"
Ковылкино,Мордовия,"54.0379,43.91505"
Когалым,Ханты-Мансийский АО,"62.264069,74.482761"
Кодинск,Красноярский край,"58.603412,99.179712"
Козельск,Калужская область,"54.034601,35.78226"
Козловка,Чувашия,"55.840386,48.245136"
Козьмодемьянск,Марий Эл,"56.332631,46.547222"
Кола,Мурманская область,"68.878221,33.025232"
Кологрив,Костромская область,"58.825182,44.310551"
Коломна,Московская область,"55.095276,38.765574"
Колпашево,Томская область,"58.311389,82.902688"
Колтуши,Ленинградская область,"59.932996,30.655306"
Кольчугино,Владимирская область,"56.293647,39.376501"
Коммунар,Ленинградская область,"59.621609,30.393483"
Комсомольск,Ивановская область,"57.027394,40.37761"
Комсомольск-на-Амуре,Хабаровский край,"50.550055,137.008685"
Конаково,Тверская область,"56.713242,36.779354"
Кондопога,Карелия,"62.20475,34.272758"
Кондрово,Калужская область,"54.807435,35.926647"
Константиновск,Ростовская область,"47.577341,41.096694"
Копейск,Челябинская область,"55.115697,61.611574"
Кораблино,Рязанская область,"53.926817,40.034463"
Кореновск,Краснодарский край,"45.462742,39.448033"
Коркино,Челябинская область,"54.892493,61.393049"
Королёв,Московская область,"55.918953,37.815211"
Короча,Белгородская область,"50.811355,37.196119"
Корсаков,Сахалинская область,"46.63498,142.782579"
Коряжма,Архангельская область,"61.315335,47.159864"
Костерёво,Владимирская область,"55.934296,39.63385"
Костомукша,Карелия,"64.587358,30.596637"
Кострома,Костромская область,"57.767918,40.926894"
Котельники,Московская область,"55.660191,37.850523"
Котельниково,Волгоградская область,"47.630046,43.146065"
Котельнич,Кировская область,"58.305095,48.346313"
Котлас,Архангельская область,"61.252975,46.633226"
Котово,Волгоградская область,"50.322064,44.801328"
Котовск,Тамбовская область,"52.59292,41.50575"
Кохма,Ивановская область,"56.932531,41.093217"
Красавино,Вологодская область,"60.961377,46.481474"
Красноармейск,Московская область,"56.120342,38.141578"
Красноармейск,Саратовская область,"51.023973,45.695178"
Красновишерск,Пермский край,"60.412825,57.083301"
Красногорск,Московская область,"55.820369,37.319484"
Краснодар,Краснодарский край,"45.03547,38.975313"
Краснозаводск,Московская область,"56.43791,38.25154"
Краснознаменск,Калининградская область,"54.942149,22.49059"
Краснознаменск,Московская область,"55.600506,37.042489"
Краснокаменск,Забайкальский край,"50.098683,118.034146"
Краснокамск,Пермский край,"58.078362,55.736376"
Красноперекопск,Крым,"44.948237,34.100318"
Краснослободск,Волгоградская область,"48.706788,44.563149"
Краснослободск,Мордовия,"54.424189,43.79384"
Краснотурьинск,Свердловская область,"59.763534,60.193574"
Красноуральск,Свердловская область,"58.356726,60.038749"
Красноуфимск,Свердловская область,"56.414882,58.495848"
Красноярск,Красноярский край,"56.010543,92.852581"
Красный Кут,Саратовская область,"50.951263,46.968118"
Красный Сулин,Ростовская область,"47.893519,40.057495"
Красный Холм,Тверская область,"58.057088,37.112531"
Кремёнки,Калужская область,"54.887036,37.116232"
Кропоткин,Краснодарский край,"45.432934,40.559402"
Крымск,Краснодарский край,"44.935414,37.987894"
Кстово,Нижегородская область,"56.150665,44.206805"
Кубинка,Московская область,"55.575577,36.695182"
Кувандык,Оренбургская область,"51.478528,57.350765"
Кувшиново,Тверская область,"57.028957,34.165877"
Кудрово,Ленинградская область,"59.908489,30.513578"
Кудымкар,Пермский край,"59.014548,54.664183"
Кузнецк,Пензенская область,"53.119335,46.601174"
Куйбышев,Новосибирская область,"55.445972,78.311111"
Кукмор,Татарстан,"56.186599,50.89399"
Кулебаки,Нижегородская область,"55.429716,42.512492"
Кумертау,Башкортостан,"52.756185,55.796698"
Кунгур,Пермский край,"57.42881,56.944215"
Купино,Новосибирская область,"54.364236,77.295691"
Курган,Курганская область,"55.441004,65.341118"
Курганинск,Краснодарский край,"44.88453,40.588858"
Курильск,Сахалинская область,"45.22829,147.875506"
Курлово,Владимирская область,"55.454973,40.611208"
Куровское,Московская область,"55.57718,38.923022"
Курск,Курская область,"51.730846,36.193015"
Куртамыш,Курганская область,"54.910156,64.42799"
Курчалой,Чечня,"43.204637,46.088955"
Курчатов,Курская область,"51.659518,35.657098"
Куса,Челябинская область,"55.337496,59.442196"
Кушва,Свердловская область,"58.282571,59.764682"
Кызыл,Тыва,"51.71989,94.43799"
Кыштым,Челябинская область,"55.707882,60.538958"
Кяхта,Бурятия,"50.35522,106.449903"
Лабинск,Краснодарский край,"44.635715,40.723578"
Лабытнанги,Ямало-Ненецкий АО,"66.660883,66.37993"
Лагань,Калмыкия,"45.392903,47.354142"
Ладушкин,Калининградская область,"54.570442,20.173933"
Лаишево,Татарстан,"55.402628,49.544522"
Лакинск,Владимирская область,"56.01711,39.949446"
Лангепас,Ханты-Мансийский АО,"61.253706,75.180725"
Лахденпохья,Карелия,"61.521157,30.194488"
Лебедянь,Липецкая область,"53.010982,39.134809"
Лениногорск,Татарстан,"54.599028,52.442676"
Ленинск,Волгоградская область,"48.693682,45.199228"
Ленинск-Кузнецкий,Кемеровская область,"54.663609,86.162243"
Ленск,Якутия,"60.713735,114.911853"
Лермонтов,Ставропольский край,"44.10535,42.973184"
Лесной,Свердловская область,"58.635513,59.79863"
Лесозаводск,Приморский край,"45.464809,133.398221"
Лесосибирск,Красноярский край,"58.221733,92.503666"
Ливны,Орловская область,"52.426549,37.60805"
Ликино-Дулёво,Московская область,"55.707086,38.958712"
Липецк,Липецкая область,"52.608826,39.599229"
Липки,Тульская область,"53.941755,37.701924"
Лиски,Воронежская область,"50.987304,39.497099"
Лихославль,Тверская область,"57.121452,35.467751"
Лобня,Московская область,"56.01242,37.47492"
Лодейное Поле,Ленинградская область,"60.734547,33.545886"
Лосино-Петровский,Московская область,"55.872183,38.200992"
Луга,Ленинградская область,"58.735207,29.847945"
Луза,Кировская область,"60.631301,47.255534"
Лукоянов,Нижегородская область,"55.035576,44.49299"
Луховицы,Московская область,"54.96515,39.02605"
Лысково,Нижегородская область,"56.021362,45.040971"
Лысьва,Пермский край,"58.100184,57.810047"
Лыткарино,Московская область,"55.579302,37.908986"
Льгов,Курская область,"51.655953,35.257456"
Любань,Ленинградская область,"59.349301,31.24858"
Люберцы,Московская область,"55.676748,37.893328"
Любим,Ярославская область,"58.362004,40.686882"
Людиново,Калужская область,"53.864533,34.447732"
Лянтор,Ханты-Мансийский АО,"61.620667,72.155361"
Магадан,Магаданская область,"59.565155,150.808586"
Магас,Ингушетия,"43.166787,44.803574"
Магнитогорск,Челябинская область,"54.152298,59.808278"
Майкоп,Адыгея,"44.606683,40.105852"
Майский,Кабардино-Балкария,"43.628254,44.051756"
Макаров,Сахалинская область,"48.622695,142.781807"
Макарьев,Костромская область,"57.880038,43.807764"
Макушино,Курганская область,"55.205029,67.248601"
Малая Вишера,Новгородская область,"58.845758,32.217673"
